S.no,Statement,Status
93,"Exam is on Saturday. Also a presentation going on,Training 2 products hahahaha.. awesome, still in sleep mode, but I'm nervous.",Anxiety
94,"I'm nervous, when you come change anxiety and become anxious, I'm more worried. Tomorrow I will try to live without news from you again, quickly go away from my insincerity.",Anxiety
95,"How worried am I? I asked my other self. Until it was sent, sustenance had a good friend.",Anxiety
96,Restless due to imagining too long and high until lazy to sleep.,Anxiety
97,"It's like something's up, something's weird, but I don't know what, it feels so restless.",Anxiety
98,"No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.",Anxiety
99,"For God's sake, I'm so tired of worrying.",Anxiety
100,"For 3 years comfortable with this condition, anxiously wondering if a few days later everything will change? I don't know, another crisis of confidence",Anxiety
101,Feeling a little anxious today.,Anxiety
102,"Not regretting or holding grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity",Anxiety
103,"Please be anxious , it must continue like this.",Anxiety
104,"Hmm, I don't know what to do, but I'm nervous",Anxiety
105,Very restless can't sleep,Anxiety
106,"I'm sad because I can't produce anything but I like to complain every day because I'm tired of taking care of children I see the body is getting bigger, yes I am getting more and more restless",Anxiety
107,"Every time after sunset, why must this heart be restless as if it can't accept the situation. But with this situation, you can't do anything, if you do it, it can only make things worse",Anxiety
108,Why are you restless and always restless ,Anxiety
109,I'm so nervous about what to do,Anxiety
110,"my hair is like a bowl, I hate it",Anxiety
111,"I swear I can't sleep...sleep anyway, but I don't sleep...so restless..",Anxiety
112,Why does it seem like tonight I'm restless & sad like I want to cry but I don't know what to be sad about,Anxiety
113,why so nervous? what is certain is not because of me..but it's all because of you,Anxiety
114,The script is harmless. But continuing anxiety because the thesis is not finished and can be dangerous for the heart.,Anxiety
115,can't you not disturb people's lives? until I'm anxious and can't sleep,Anxiety
116,"how do you keep it calm, initially it is excited but then you're sweaty or nervous ",Anxiety
117,And again suddenly feeling nervous and anxious without knowing why :(,Anxiety
118,"I'm not feeling very good this morning, I'm really worried",Anxiety
119,"If you are restless, just complain to someone or read so that the heart becomes cool and reduce cynicism towards others",Anxiety
120,controlling excessive anxiety,Anxiety
121,"When you hear the song, your heart becomes calm and when you hear the Quoran, your heart becomes tense and restless.",Anxiety
122,restlessness haunts self,Anxiety
123,"The peak period of my stress has passed and I am only noisy now. After going out with my friends yesterday, I feel kinda better.",Anxiety
124,I'm most worried when my mom is sick.,Anxiety
125,don't worry yet :),Anxiety
126,"Yesterday, I was worried half to death, now my wife is aware of being stiff again... how about that?",Anxiety
127,The last time I felt this nervous was on Wednesday. When he found out his mother died. I hope this isn't a sign anymore,Anxiety
128,I don't know how many years it took me to jump in until I could feel the descent without worrying,Anxiety
129,"I want to ask, have you ever been worried about the things you like? Even because you really like it, you feel like it's a part of your life. ",Anxiety
130,"However, every time I picket, I'm always nervous, I'm really scared.",Anxiety
131,Waking up reading the group makes you emotional,Anxiety
132,time goes on and at the same time my heart is getting restless and am hurting,Anxiety
133,I want to exhale the restlessness out of my chest with my breath,Anxiety
134,Why every morning I want to sleep I'm restless ,Anxiety
135,"Anxious alone, sad alone, not having peace",Anxiety
136,"What's wrong I'm worried, oh I hope it's okay",Anxiety
137,"I really like this, I'm nervous about things I'm not sure about, I don't know why but I feel really nervous. Weird",Anxiety
138,"I'm so nervous, why?",Anxiety
139,but my heart is still restless even though my mouth is talking,Anxiety
140,Since then I was restless to the point of choking. What's wrong?,Anxiety
141,"Starting to worry again if I have a lot of schedules, even though yesterday it was neatly arranged.",Anxiety
142,"Does anyone know why I am here? I've been feeling restless since yesterday, like worrying too much, suddenly feeling sad, just scared. Don't know why",Anxiety
143,"I'm restless and speechless, I don't know what the cause is.",Anxiety
144,I keep getting restless day-after-day,Anxiety
145,Happy but also worried.,Anxiety
146,"If you're nervous looking for the best position before going to sleep, it feels like someone's watching you",Anxiety
147,"Honestly, I'm really nervous",Anxiety
148,"Here from now on, my heart is restless",Anxiety
149,"Later when you are tired of the new one, and then you look back and feel guilty for me, don't be a bit nervous. Trust me, I have forgiven you. Even though I will never accept you again.",Anxiety
150,I myself have started to learn not to stalk just because I'm afraid that mental disorders will get worse even though I still feel anxious,Anxiety
151,"In the evening, towards the morning. A little worried, a lot of longing",Anxiety
152,"I'm excited but I don't know why, there's no reason, I'm nervous, I have a stomach ache but I'm scared, I know I'm tired, this is the third time today :)",Anxiety
153,"Always worried about the future, even though today has not changed.",Anxiety
154,"every time you worry, why is the disease running to your stomach?",Anxiety
155,"Some days, I don't think I'm doing well, so I feel like I'm really crying, scared, anxious, just sad. until I think of this when I cry, does my fast break or not?",Anxiety
156,"It's been a few days when I sleep by default I'm afraid, restless, nervous, feel alone, sometimes my breath is really heavy.....why is that... like I'm afraid of being restless, oh my God",Anxiety
157,"No need to run, just walk one by one, the stones that are being stepped on slowly and absorb it without feeling anxious and full of emotions",Anxiety
158,aren't you worried? aren't you worried? don't you worry...,Anxiety
159,"Instead of getting calmer, this heart is getting more restless",Anxiety
160,can i tap the dm or not? I'm very nervous thinking,Anxiety
161,"Lately I'm feeling scared & very anxious thinking about the day for tomorrow's work inspector . Honestly, I'm really scared because I'm not very close to his friends",Anxiety
162,"This is why I can't sleep, I'm so restless...",Anxiety
163,I want to exhale the restlessness in my chest with my breath,Anxiety
164,My life is chaos. There is no solution. Fear of the uncertain. Restless direction.,Anxiety
165,Please forgive me who is starting to weaken and lose enthusiasm to keep fighting and survive...,Anxiety
166,"If I'm honest, I've been nervous since that day even though I said it wasn't....",Anxiety
167,"Time is slow for those who wait, too long for those who are restless, and too short for those who are happy",Anxiety
168,"Since then, the chicken cake has been restless and wants to lay eggs.",Anxiety
169,Do not compare yourself to others. Envy only makes restless soul. Be yourself.,Anxiety
170,Why do I like to be nervous? I keep worrying so much that I sweat,Anxiety
171,"Have you ever been so nervous, scared, and anxious that you want to throw up?",Anxiety
172,I really can't be told to just listen to it for hours. Immediately anxious.,Anxiety
173,Actually I'm worried. The original looks really scared. I've come to play/bite my nails :(,Anxiety
174,"Dialogue in the morning.. to yourself, restless and restless accompanying it, hoping someone will understand",Anxiety
175,"a few days ago restless, today menses. I've just read that restlessness is a symptom of PMS. so who gave this anxiety, thesis or pms?",Anxiety
176,"Oh, I'm so nervous, bro :(",Anxiety
177,"Eid is getting closer. Oh God, I feel so lazy to meet a big family, I'm too lazy to ask a lot of questions, it's not okay, I'm not comfortable, I'm really worried, fuck the life",Anxiety
178,"Suddenly restless, not even 5 minutes immediately severe nausea. It's true that stomach acid is the fastest way to get sick if you have thoughts",Anxiety
179,What is the sign of restlessness,Anxiety
180,"They say I'm strong, I'm stoned, I always have panic attacks when I'm restless at night, it's not clear who knows, I don't leave my room all day because I'm so tired",Anxiety
181,"so please be worried, what version will I get",Anxiety
182,"What exactly is making me nervous, please, tell me!",Anxiety
183,restless and agitated,Anxiety
184,"For the past few days, he's been a bit restless, he's not calm like that.",Anxiety
185,"I swear I'm nervous, why are you?",Anxiety
186,"I've been so restless all day, why is it even though there's nothing... calm after praying, after that, I'm restless again",Anxiety
187,"It's so toxic, every night I'm always afraid of forgetting to do something I'm so nervous gt anjr",Anxiety
188,"Today's energy is very heavy. You have to go to the doctor, have an ultrasound, then an X-ray. The results will be known tomorrow. Ugh, so worried.",Anxiety
189,"Time is slow for those who wait, too long for those who are restless, and too short for those who are happy. ",Anxiety
190,Feeling restless is the worst thing ever.,Anxiety
191,"Every night before this night, I always worry about what drama will happen tonight, my baby boy If there's no husband, this is really crazy",Anxiety
192,I'm afraid the anxiety is too much because I'm already in the phase of being really scared,Anxiety
193,Other people don't know I feel anxious every day.,Anxiety
194,"Feeling anxious like this, every time you want to work, you have to feel anxious and not calm",Anxiety
195,"Even though I am calm like a fish, I am restless like a wave in the ocean.",Anxiety
196,"I'm really restless when I just wake up, I feel like I immediately get bad thoughts and it's really every day",Anxiety
197,"When you're working on something, and suddenly feel restless and anxious even though nothing's going on...haha what's the matter, my self",Anxiety
198,"Shit! I'm addicted to playing cellphones so that if I don't have a cellphone, I feel restless. How do you get rid of it",Anxiety
199,"Pls, how do I feel afraid to go out of the house because I'm afraid to meet people, I don't know why, even though I wasn't like this before, I used to be nervous, then I'm so anxious I'm so sweaty",Anxiety
200,Why am I so nervous?!!!,Anxiety
201,how do you get rid of anxiety,Anxiety
202,"I'm so restless, why isn't it",Anxiety
203,Why are you so worried since yesterday...,Anxiety
204,"O Allah, I just ask for a safe and peaceful life without being haunted by anxiety",Anxiety
205,"For a long time, my heart feels like it's going to burst when it's restless",Anxiety
206,"Now, he's always anxious every day, it feels like he's waiting for a thesis trial, you know. I understand it feels nervous, worried, afraid. what's the difference now that you don't know what you're worried about",Anxiety
207,Say! Are you worried about your health? Any tips so you don't worry too much?,Anxiety
208,"I don't feel good, I'm not calm, I'm just restless :( let's do a lot of meditation",Anxiety
209,I'm a bit scared and nervous...,Anxiety
210,starting to get restless with life's journey like this,Anxiety
211,"Restlessness accompanied, hoping someone would understand, wishing he wasn't here.",Anxiety
212,"Why be afraid of pain when all of our feelings can be created!.. There will always be calm, on the sidelines of anxiety waiting to subside...",Anxiety
213,The habit of being anxious is clear,Anxiety
214,sleep but restless. understand?,Anxiety
215,"Anjir is so restless today, what's wrong?",Anxiety
216,hello? buddy it's been a long time. My account still looks like an nothing .. tbh lately I've been feeling tired. Anxiety always comes suddenly for no reason,Anxiety
217,"Anxiety starts again, every night is restless :))))",Anxiety
218,One by one the family (women) who were almost the same age as Mama died. and the average below mama. starting to worry.....hope you are always healthy,Anxiety
219,Why are you so nervous :(((,Anxiety
220,"It seems like I'm really at the anxiety stage every time I open WhatsApp. It feels really anxious, scared, nervous, feeling guilty, feeling useless. I want to disappear",Anxiety
221,"That's if you're worried, the pain is too much to bear.",Anxiety
222,"I'm nervous but I don't know why, it's really not that good, I've been nervous. Hope all is well",Anxiety
223,"The restlessness that hit, really disturbs the atmosphere",Anxiety
224,"Can't sleep because I'm worried it's not really good, I can't take it to watch too",Anxiety
225,Seems like it's a lot of sin when you're so restless,Anxiety
226,"Shit, worry again, throw up again!",Anxiety
227,how about a prolonged period of anxiety..,Anxiety
228,"My mind is really divided, until I fell asleep like I was feeling anxious, but I don't know what to worry about.",Anxiety
229,"There is excessive anxiety today. And, there is another.",Anxiety
230,"I really do this istikhara prayer. The excitement is not crazy, I'm really worried",Anxiety
231,"Fwb, how do you calm a restless heart? It's not a boy problem.",Anxiety
232,The combination of anxiety and anxiety gives me a terrible headache..,Anxiety
233,"worry too much at this hour, God is so annoying",Anxiety
234,"It used to be beautiful. But now it's real. Feels restless, restless, etc.;(",Anxiety
235,The default is so restless haha,Anxiety
236,Confused since yesterday feeling restless but don't know what to worry about,Anxiety
237,Does anyone know of a sedative so you don't get excited? ,Anxiety
238,I wake up restless every time I don't know why or do I have any other suggestions so that it doesn't continue like this. thank you,Anxiety
239,"Yoo, why are you nervous?",Anxiety
240,"Every time I hear that my friend wants to go to trial, I like to be nervous, it's not clear, I need to hurry to clean it too, but if I'm in a hurry because I see people are afraid, it's not really right :(",Anxiety
241,"The past few days it's been really messy, so I'm nervous why the assignments don't show up . Usually Monday/Tuesday there are assignments and the deadline is Wednesday/Thursday",Anxiety
242,Tired of being restless every day :'(,Anxiety
243,"Haven't prayed yet so restless, want to pray still lazy.",Anxiety
244,"don't want to sleep, don't be restless far",Anxiety
245,"Want to sleep, all restless",Anxiety
246,"I get traumatized. when he was a child, he was said to be ugly because he had a mole. When I grew up around high school I was also said to be ugly with a guy.",Anxiety
247,I shouldn't worry about fate. Because even a leaf God has arranged to fall when and where,Anxiety
248,"Please calm me down, friends. Say ""it's okay"" if my research is taking a long time. ""It's okay"" if you haven't written a thesis yet. ""It's okay"" if graduation is a bit behind the plan.",Anxiety
249,even though I don't miss anyone but I'm still restless,Anxiety
250,"This is how it feels.. not calm, restless don't know why, I wake up and wake up, my heart feels like it's piling up thinking about something..",Anxiety
251,Feeling restless,Anxiety
252,"Panic, restlessness right now",Anxiety
253,"I just want to sleep, oh God, I'm not even sure it's clear",Anxiety
254,"I want to ask, but I'm afraid. If you don't ask, you'll get even more restless",Anxiety
255,Waiting anxiously,Anxiety
256,but my heart is still restless even though my mouth is talking,Anxiety
257,Don't worry even more about this dog,Anxiety
258,why are you so nervous have mixed feelings,Anxiety
259,"Why is it that if there are a lot of people talking in front of the house, there are too many motorbikes that pass by, the feeling is immediately restless, afraid",Anxiety
260,"Usually every night when you're alone you're restless, it's calm. It feels so different.",Anxiety
261,"you can worry, you can worry. no one forbids.",Anxiety
262,duhh why am I worried to be honest?,Anxiety
263,"I'm tired, aren't I, lately I've been nervous about something, I want to hurry up and wait for the time to come and then it's over",Anxiety
264,I'm worried about speed,Anxiety
265,"Happiness and sadness move in one door, no need to worry about this life process.",Anxiety
266,"Don't worry, your story is written by the best screenwriter",Anxiety
267,"When relying on yourself is the best answer to forget anger, anxiety, and disappointment?",Anxiety
268,2 weeks until the exam and already starting to get restless and have a lot of thoughts,Anxiety
269,Fuck the life,Anxiety
270,Go to hell,Anxiety
271,Fucking hate you,Anxiety
272,Hell yeah varsity life,Anxiety
273,I am fucking tired of everything,Anxiety
274,There is a feeling of restlessness and restlessness even though I can cover it with my smile.. It's been almost 8 years of Hari Raya without meaning and getting used to it... Just be grateful to Allah,Anxiety
275,I don't like feeling like this!! Kind of restless,Anxiety
276,Restless tonight,Anxiety
277,I've been restless since yesterday :(,Anxiety
278,3 days anxious tremor,Anxiety
279,Still hopeful,Anxiety
280,"I want to ask. I'm an extrovert, but the more I come here, the more scared I am when I meet a lot of people, I feel anxious right away. Does anyone know why that is?",Anxiety
281,"Why is it that every time I do my job I'm always restless, I'm so dizzy, it's so hard I can't focus, please",Anxiety
282,Why am I nervous,Anxiety
283,"Oh God, why am I in this house by nature angry, angry, anxious, anxious, restless, when my mouth is open, my heart is full of malice",Anxiety
284,"I'm so worried, even though tomorrow is just a presentation...",Anxiety
285,"Lately, I've been feeling anxious, restless, sad, but I'm still feeling sad because na, kabeh comes naturally. Strange.",Anxiety
286,"I'm so worried, my cellphone is about to fall again",Anxiety
287,"Moving forward is hope, Quitting is despair. Restless hope is better than despair.",Anxiety
288,So when the time comes I won't be surprised anymore and won't be overly disappointed. I lowered my expectations amidst the many possibilities.,Anxiety
289,I want to exhale the restlessness in my chest with my breath,Anxiety
290,It's too lazy if every day the default is constantly restless for no reason,Anxiety
291,"Can I skip this or not? To be honest, I don't really have any feelings of anxiety, I just thought about it, do you think I can survive in this place or not??",Anxiety
292,"Why do thoughts in the future always make you anxious, even though it is not necessarily the case. Whyyyyy? I'm so dizzy.",Anxiety
293,"Compromise to your heart's content. Restless , upset , happy , sad . It's like riding a gondola but don't know when to get off the ride.",Anxiety
294,"I'm easily restless, even fake.",Anxiety
295,"I'm really nervous, why is it, I don't have much worship..",Anxiety
296,"Overthinking, restless, dizzy, tired, wants to cry, sucks in starting to enter the room",Anxiety
297,Why is this guy so restless,Anxiety
298,"I'm lazy to work, if I often feel anxious",Anxiety
299,"It's been about 5 years for the last time I felt this feeling of anxiety and lack of motivation. Now it appears again. Oh my God, what should I do..",Anxiety
300,Slowly I want to talk about feeling uneasy with the situation,Anxiety
301,"Fear, Worry, Give up, Yes How ??",Anxiety
302,"Help ma mental... It's really like this... .I just told myself this afternoon that you're great, great because of your anxiety and overthinking you haven't appeared in a few months, but why is it now showing up again ️",Anxiety
303,how come there are so many senders asking me to make you cry and then explain the tags like literally brutal.. I'm a little worried..,Anxiety
304,Dancing on the edge of restlessness,Anxiety
305,"If you are at home alone, you like to be anxious?",Anxiety
306,"When I re-read the soft file proposal, how come there are so many mistakes. But how do you want the file to be distributed, it's getting more and more anxious.",Anxiety
307,"Ptn! What do you think about fasting on social media after utbk? I'm really worried that I don't want to open social media, but I can't use Twitter because I need information to register",Anxiety
308,Why is this feeling uneasy? I consider my manager like my own mother even though the age difference is only a year older. ..Or am I interested in the motherly soul huh,Anxiety
309,"It's this kind of anxiety that I don't like.Suddenly crying incoherently, chest pain, shaking etc... .But thank God I never had any intention of hurting myself",Anxiety
310,so it's like this.. the authors never wanted to post or chat but when rereading it cringe gt.. i'm afraid the readers won't like it... i'm wb + not very confident... i'm restless... hhhhh,Anxiety
311,"Very sad, I feel heartbroken even though I don't know the reason",Anxiety
312,Like to worry about the future,Anxiety
313,"Alone, accompanying you in silence. Throwing all restlessness in your heart. Trying to find peace of mind. Who has been betrayed all this time",Anxiety
314,I can't take any more pressure pls!,Anxiety
315,"It's been a few days that I haven't slept very well, I'm very restless",Anxiety
316,Why are you so restless,Anxiety
317,"Just for Eid this year, I'm a little worried about the template questions that people often complain about. Oops, what's the answer?",Anxiety
318,tired and restless,Anxiety
319,"I'm nervous by nature, confused, nervous, when it's people, just relax :)",Anxiety
320,"When the heart is sad, restless and filled with despair, remember that only to God do we complain.",Anxiety
321,"mentally down because social media is not that good :""/ you're worried but can't do anything :((",Anxiety
322,"Heart disease that is hard to get rid of: it's really hard not to be curious about other people's lives, you're jealous to the point of restlessness. Any tips?",Anxiety
323,"Why are you worried about getting lost? The panic feeling is also really annoying, not just crying that bothers you.",Anxiety
324,Why so much pressure?,Anxiety
325,Nightmares of a few minutes make you anxious and uninspired for days,Anxiety
326,"Restless, upset if there is no news all day..",Anxiety
327,"I'm getting more and more restless, and I'm crying as much as I can, and they just look at me crying, and they say, don't worry, sis, it's okay, you're okay here, you just need to rest",Anxiety
328,restless restless accompanying,Anxiety
329,"Help! Lately, whenever I meet a lot of people I don't know, I always feel really dizzy, my stomach suddenly feels nauseous, anxious, panicked. How do you solve it? And why is that?",Anxiety
330,"As the day draws near, I'm overthinking a lot, oh my god. Calm my restless heart",Anxiety
331,Anxiety for no reason. How come?,Anxiety
332,"It just felt like a storm, rumbling, boisterous, restless and quite stifling.",Anxiety
333,anxious and restless,Anxiety
334,I'm so restless when I can calm down,Anxiety
335,"It's been a long time since I've been here, I'm suddenly restless + crazy chest pain",Anxiety
336,restless upset languishing,Anxiety
337,"Just shut up, you know it's there. Afraid, still anxiously waiting for this month",Anxiety
338,"Kinda not very excited. Restless, many thoughts, bored, confused, sad, angry, afraid, frantic. Ah...",Anxiety
339,"guys, how do you not get triggered easily? I'm still sad, I'm sad too... now I feel nervous and anxious, I want to cry.",Anxiety
340,"Usually I sleep well every afternoon, I just want to rest for a while, I feel restless because the task hasn't been completed yet",Anxiety
341,"Wehh, I just woke up, I was immediately worried, scared to run out, I didn't like it.",Anxiety
342,"Don't worry too much, your story is written by the best screenwriter",Anxiety
343,Actually you know that the cure for your anxiety and confusion is by praying to God. But why do you still forget Him.,Anxiety
344,"restless and emotional like PMS again, even though it's over. it doesn't feel very comfortable.",Anxiety
345,"want to sleep restless, wake up restless. what do you want to die for?",Anxiety
346,Emotional when PMS is motivated by insecurity which also increases due to these hormones. I don't know why I will feel anxious about many things for no reason,Anxiety
347,"I feel so restless, why?",Anxiety
348,restless oh nervous.,Anxiety
349,always worried about tomorrow,Anxiety
350,"If you're blank and restless, your typing will be random",Anxiety
351,I'm so nervous :(,Anxiety
352,"No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.",Anxiety
353,Looks like I'm going to leave WhatsApp aka I don't want to open it often because I don't know why I'm worried every time I open it,Anxiety
354,This week really can't calm down. there's just something that's bothering me,Anxiety
355,Very restless huh,Anxiety
356,Have you ever been... you're honest but you're the one who's restless,Anxiety
357,confused and restless. This heart seems to die. When you change,Anxiety
358,Can't sleep restless,Anxiety
359,"Why is it, every time you want to do something, you get nervous..",Anxiety
360,"I'm mute, stuck in a dream sheet. I flinch when the clink of time calls out to me. I wake up, restless",Anxiety
361,"It's true, it's okay to be nervous, it's really okay to get it",Anxiety
362,"Have you ever felt anxious every day because you were worried about the future, just kept thinking about it all day, to be honest, I'm really tired",Anxiety
363,why is this.. suddenly very nervous,Anxiety
364,"I'm restless, I'm languishing every night, it's really hard when I'm tired",Anxiety
365,"Restless, heart pounding. Fix anxious again :)",Anxiety
366,"Don't worry, don't worry",Anxiety
367,"I wonder why lately I've been nervous when it's already above 9 o'clock, even though there's no problem. How do you prevent anxiety?",Anxiety
368,"This morning, I'm anxious, anxious, dizzy, dizzy, not nauseous, until all the contents of my stomach are out, my heart is pounding wildly, ah, I'm scared. I wonder what if I die. I'm really scared",Anxiety
369,let this anxious rest ok. Please,Anxiety
370,"Believe me, he loves you very much.. It's just that you are too worried about losing, because you have fallen so many times",Anxiety
371,The highest level of miss is when you are worried about him for no apparent reason.,Anxiety
372,"At first, I just did it, in the end I started to feel worried and anxious about the situation.",Anxiety
373,"Actually, I'm just happy to be happy right now, but yeah, I really like being nervous all of a sudden",Anxiety
374,why do you suddenly worry too much with cold sweat :),Anxiety
375,I'm upset restless languishing,Anxiety
376,"If you're nervous, you can't sleep normally.. this one is more fun, can't sleep too :)",Anxiety
377,"stop disclaimer depression is easy... depression is sick, it's not good to be tired, mental illness isn't just depression",Anxiety
378,"dizzy, restless, shaking so one solid buddy",Anxiety
379,"If you are already a mate, all doubts will be whole, all worries will surely come true",Anxiety
380,"So often restless in the middle of the night but for no reason, why is this",Anxiety
381,I don't know why he's so restless today,Anxiety
382,"Finally able to breath & eat after taking Miko to see the doctor. Moreover, the condition is not as serious as the other doctor thought...I thought that my anxiety disorder was serious too..",Anxiety
383,Feeling restless inside,Anxiety
